Старт сервера: Sat May 17 16:14:20 MSK 2025
Старт сервера: Sat May 17 16:14:59 MSK 2025
Старт сервера: Sat May 17 16:16:21 MSK 2025
Сервер запущен на http://localhost:8081
[2025-05-17 16:16:22] GET /
[2025-05-17 16:16:23] GET /styles.css
[2025-05-17 16:16:23] GET /favicon.ico
[2025-05-17 16:16:28] POST /multiply
[2025-05-17 16:16:28] GET /styles.css
[2025-05-17 16:16:28] GET /favicon.ico
[2025-05-17 16:16:32] GET /
[2025-05-17 16:16:32] GET /styles.css
[2025-05-17 16:16:32] GET /favicon.ico
Старт сервера: Sun May 18 16:00:27 MSK 2025
